whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct,whisky_rating,num_ratings,num_reviews
https://www.whisky.com/whisky-database/details/lagavulin.html,Lagavulin,16Y,,,- 43%,4.5,"(1,535),",805
https://www.whisky.com/whisky-database/details/lagavulin-1.html,Lagavulin,16Y,,,- 43%,4.5,"(1,535),",805
https://www.whisky.com/whisky-database/details/miniatur-lagavulin-16y-43-004l.html,Lagavulin,16Y,,,- 43%,4.5,"(1,535),",805
https://www.whisky.com/whisky-database/details/highland-park.html,Highland Park,12Y,,,- 40%,3.9,"(1,153),",634
https://www.whisky.com/whisky-database/details/miniatur-highland-park.html,Highland Park,12Y,,,- 40%,3.9,"(1,153),",634
https://www.whisky.com/whisky-database/details/highland-park-neues-design.html,Highland Park,12Y,,Viking Honour,- 40%,3.9,"(1,153),",634
https://www.whisky.com/whisky-database/details/ardbeg-ten.html,Ardbeg,10Y,/ 2019,TEN,- 46%,4.2,"(1,141),",692
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,10Y,,,- 40%,4.0,"(993),",603
https://www.whisky.com/whisky-database/details/miniatur-laphroaig-1.html,Laphroaig,10Y,,,- 40%,4.0,"(993),",603
https://www.whisky.com/whisky-database/details/laphroaig-boot-pack.html,Laphroaig,10Y,,Boot Pack,- 40%,4.0,"(993),",603
https://www.whisky.com/whisky-database/details/laphroaig-mit-2-glaesern.html,Laphroaig,10Y,,mit 2 Gläsern,- 40%,4.0,"(993),",603
https://www.whisky.com/whisky-database/details/laphroaig-twisted-tube-10y-40-07l.html,Laphroaig,10Y,,Twisted Tube,- 40%,4.0,"(993),",603
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,12Y,,Double Wood,- 40%,4.0,"(991),",497
https://www.whisky.com/whisky-database/details/miniatur-balvenie-double-wood-1.html,Balvenie,12Y,,Double Wood,- 40%,4.0,"(991),",497
https://www.whisky.com/whisky-database/details/miniatur-balvenie-double-wood-2.html,Balvenie,12Y,,Double Wood,- 40%,4.0,"(991),",497
https://www.whisky.com/whisky-database/details/balvenie-double-wood-mit-2-glaesern-1.html,Balvenie,12Y,,Double Wood with 2 Glasses,- 40%,4.0,"(991),",497
https://www.whisky.com/whisky-database/details/lagavulin.html,Lagavulin,16Y,,,- 43%,4.5,"(1,535),",805
https://www.whisky.com/whisky-database/details/ardbeg-ten.html,Ardbeg,10Y,/ 2019,TEN,- 46%,4.2,"(1,141),",692
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,10Y,,,- 40%,4.0,"(993),",603
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,12Y,,Double Wood,- 40%,4.0,"(991),",497
https://www.whisky.com/whisky-database/details/highland-park.html,Highland Park,12Y,,,- 40%,3.9,"(1,153),",634
https://www.whisky.com/whisky-database/details/dalwhinnie.html,Dalwhinnie,15Y,,,- 43%,3.7,"(756),",412
https://www.whisky.com/whisky-database/details/glenmorangie-the-original.html,Glenmorangie,10Y,,The Original,- 40.4%,3.4,"(720),",324
https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Ardbeg,,/ 2013,Uigeadail,- 54.2%,4.6,"(976),",552
https://www.whisky.com/whisky-database/details/glenfiddich.html,Glenfiddich,12Y,,,- 40%,3.0,"(513),",189
https://www.whisky.com/whisky-database/details/bowmore-1.html,Bowmore,12Y,,(new cardboard box),- 40%,3.7,"(764),",469
https://www.whisky.com/whisky-database/details/bruichladdich-organic-barley-1st-fill-bourbon.html,Bruichladdich,10Y,/ 2023,Organic Barley – 1st Fill Bourbon,- 50%,3.0,(1),
